 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
87 6235.0 41446 l1 PP2 4.0 4.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 80000920.0
88 6235.0 41446 l1 PP2 4.0 5.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 3.0 80000921.0
89 6235.0 41446 l1 PP2 4.0 6.0 1.0 1.0 1.0 0.0 1.0 6.0 9.0 8.0 80004317.0
90 6235.0 41446 l1 PP2 4.0 7.0 1.0 1.0 0.0 0.0 5.0 8.0 7.0 2.0 80004318.0
91 6235.0 41446 l1 PP2 4.0 8.0 1.0 1.0 0.0 0.0 0.0 2.0 6.0 7.0 80005997.0
92 6235.0 41446 l1 PP2 4.0 9.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 5.0 80005998.0
93 6235.0 41446 l1 PP2 4.0 10.0 1.0 1.0 1.0 0.0 1.0 5.0 6.0 5.0 80006474.0
94 6235.0 41446 l1 PP2 4.0 11.0 1.0 1.0 1.0 0.0 0.0 6.0 13.0 12.0 80007368.0
95 6235.0 41446 l1 PP2 4.0 12.0 1.0 1.0 0.0 0.0 6.0 13.0 12.0 6.0 80007369.0
96 6235.0 41446 l1 PP2 5.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 27.0 51.0 80000757.0
97 6235.0 41446 l1 PP2 5.0 1.0 1.0 1.0 1.0 0.0 3.0 28.0 52.0 46.0 80000758.0
98 6235.0 41446 l1 PP2 5.0 2.0 1.0 1.0 0.0 0.0 25.0 49.0 43.0 22.0 80000759.0
99 6235.0 41446 l1 PP2 5.0 3.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 5.0 80006474.0
100 6235.0 41446 l1 PP2 6.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 18.0 32.0 80000757.0
101 6235.0 41446 l1 PP2 6.0 1.0 1.0 1.0 1.0 0.0 2.0 18.0 32.0 25.0 80000758.0
102 6235.0 41446 l1 PP2 6.0 2.0 1.0 1.0 0.0 0.0 16.0 30.0 23.0 10.0 80000759.0
103 6235.0 41446 l1 PP2 7.0 0.0 1.0 1.0 1.0 0.0 0.0 6.0 13.0 10.0 80000758.0
104 6235.0 41446 l1 PP2 7.0 1.0 1.0 1.0 0.0 0.0 6.0 13.0 10.0 5.0 80000759.0
105 6235.0 41446 l1 PP2 7.0 2.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 8.0 80001573.0
106 6235.0 41446 l1 PP2 7.0 3.0 1.0 1.0 1.0 0.0 4.0 8.0 8.0 5.0 80001574.0
107 6235.0 41446 l1 PP2 7.0 4.0 1.0 1.0 0.0 0.0 1.0 3.0 13.0 20.0 80003510.0
108 6235.0 41446 l1 PP2 7.0 5.0 1.0 1.0 1.0 0.0 2.0 12.0 19.0 13.0 80003511.0
109 6235.0 41446 l1 PP2 7.0 6.0 1.0 1.0 0.0 0.0 10.0 17.0 11.0 5.0 80003512.0
110 6235.0 41446 l1 PP2 7.0 7.0 1.0 1.0 1.0 0.0 0.0 3.0 8.0 6.0 80003517.0
111 6235.0 41446 l1 PP2 7.0 8.0 1.0 1.0 0.0 0.0 5.0 10.0 8.0 4.0 80003518.0
112 6235.0 41446 l1 PP3 0.0 0.0 1.0 1.0 1.0 0.0 0.0 3.0 7.0 6.0 80000758.0
113 6235.0 41446 l1 PP3 0.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 3.0 80000759.0
114 6235.0 41446 l1 PP3 0.0 2.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 4.0 80002591.0
115 6235.0 41446 l1 PP3 0.0 3.0 1.0 1.0 0.0 0.0 1.0 1.0 40.0 217.0 80003509.0
119 6235.0 41446 l1 PP3 0.0 7.0 1.0 1.0 0.0 0.0 0.0 0.0 6.0 13.0 80003971.0
120 6235.0 41446 l1 PP3 0.0 8.0 1.0 1.0 1.0 0.0 1.0 7.0 14.0 14.0 80003972.0
121 6235.0 41446 l1 PP3 0.0 9.0 1.0 1.0 1.0 0.0 6.0 13.0 13.0 8.0 80003973.0
122 6235.0 41446 l1 PP3 1.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 9.0 80003510.0
123 6235.0 41446 l1 PP3 1.0 1.0 1.0 1.0 1.0 0.0 1.0 6.0 9.0 7.0 80003511.0
124 6235.0 41446 l1 PP3 1.0 2.0 1.0 1.0 0.0 0.0 5.0 8.0 6.0 2.0 80003512.0
125 6235.0 41446 l1 PP3 1.0 3.0 1.0 1.0 0.0 0.0 2.0 4.0 7.0 9.0 80005385.0
126 6235.0 41446 l1 PP3 1.0 4.0 1.0 1.0 1.0 0.0 2.0 5.0 7.0 4.0 80005386.0
127 6235.0 41446 l1 PP3 1.0 5.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 4.0 80006126.0
128 6235.0 41446 l1 PP3 2.0 0.0 1.0 1.0 0.0 0.0 1.0 2.0 58.0 185.0 80002187.0
131 6235.0 41446 l1 PP3 2.0 3.0 1.0 1.0 0.0 0.0 127.0 166.0 95.0 6.0 80002190.0
132 6235.0 41446 l1 PP3 2.0 4.0 1.0 1.0 0.0 0.0 0.0 2.0 10.0 14.0 80005385.0
133 6235.0 41446 l1 PP3 2.0 5.0 1.0 1.0 1.0 0.0 2.0 10.0 14.0 11.0 80005386.0
134 6235.0 41446 l1 PP3 2.0 6.0 1.0 1.0 0.0 0.0 8.0 12.0 9.0 2.0 80005387.0
135 6235.0 41446 l1 PP3 2.0 7.0 1.0 1.0 1.0 0.0 2.0 6.0 9.0 9.0 80006181.0
136 6235.0 41446 l1 PP3 2.0 8.0 1.0 1.0 1.0 0.0 4.0 7.0 7.0 4.0 80006182.0
137 6235.0 41446 l1 PP3 3.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 14.0 46.0 80002187.0
138 6235.0 41446 l1 PP3 3.0 1.0 1.0 1.0 0.0 0.0 0.0 14.0 46.0 51.0 80002188.0
139 6235.0 41446 l1 PP3 3.0 2.0 1.0 1.0 1.0 0.0 14.0 46.0 51.0 29.0 80002189.0
140 6235.0 41446 l1 PP3 3.0 3.0 1.0 1.0 0.0 0.0 32.0 37.0 15.0 0.0 80002190.0
141 6235.0 41446 l1 PP3 3.0 4.0 1.0 1.0 1.0 0.0 2.0 5.0 7.0 5.0 80002334.0
142 6235.0 41446 l1 PP3 3.0 5.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 7.0 80005809.0
